symbol,grp,n,px,tick_pct,flat_bar,zero_vol,unch,dvol
APTV,current,3700,70.97769500000001,0.028177866300104586,0.0,0.0,0.0040551500405515,145227926.0
ARE,current,7345,46.48513,0.023652725075749496,0.0010891763104152485,0.0005445881552076242,0.018927015250544663,20149254.2724
ARES,current,3085,32.35421,0.07665153932054228,0.0,0.0,0.01848249027237354,21958404.7201
ATO,current,10736,13.635765,0.06164670629046414,0.018815201192250372,0.0005588673621460507,0.10992081974848626,3439714.6309
AVB,current,8155,63.53612,0.02746469252450447,0.0035561005518087063,0.0,0.03532008830022075,53988221.542330004
AVGO,current,4277,19.39188,0.05677634143775967,0.0,0.0,0.002104770813844715,476772012.96
AVY,current,10743,30.23958,0.02900172555306122,0.0012100902913525086,0.0007446709485246207,0.04840811766896295,15656225.13
AWK,current,4602,67.14701500000001,0.025317581131485748,0.0,0.0,0.006302977613562269,59170332.432000004
AXON,current,6321,16.98,0.11778563015313973,0.0012656225280809998,0.0,0.01708860759493671,23532457.0
AXP,current,13659,19.71124,0.05377642400985511,0.016911926202503844,0.0132513361153818,0.04429638307219212,100998904.78412
AZO,current,8902,135.715,0.09570054894461535,0.0,0.0,0.02494101786316144,97197494.002
BA,current,14271,24.44593,0.058770519264352054,0.00021021652301870928,0.0,0.04723195515066573,71363622.57800001
BAC,current,10182,16.54703,0.026560657713195088,0.005499901787468081,0.0005892751915144372,0.03506531774874767,415116200.4969
BALL,current,13479,1.96744,0.21144228032360993,0.005193263595222197,0.001409600118703168,0.08072414304792996,4726221.6959999995
BAX,current,11240,14.25642,0.03787767195410804,0.0,0.0,0.051783966545066284,67641449.54458499
BBY,current,10406,17.16465,0.033499080959990636,0.028349029406111857,0.0,0.08938010571840461,85178424.330355
BDX,current,13479,14.31471,0.06779739163418973,0.0008160842792492024,0.0003709473996587284,0.04933966463867043,14766289.592799999
BEN,current,9889,15.39013,0.017868595002120242,0.005258367883506927,0.004651633127717666,0.03377831715210356,40282026.096
BF.B,current,9926,9.63502,0.03290081390592865,0.0019141648196655248,0.001309691718718517,0.03385390428211587,10065103.6985575
BG,current,6290,49.42805,0.018175914283484994,0.0,0.0,0.008586420734615996,54679514.5235
BIIB,current,8785,61.049999,0.04914004994491927,0.002504268639726807,0.0005691519635742744,0.03722677595628415,179281447.51
BKNG,current,6881,17.64945,0.04034120043400291,0.0,0.0,0.006395348837209302,304353522.175
BKR,current,9909,18.79598,0.017663351418767854,0.0002018367140982945,0.00010091835704914725,0.04249091643116673,64154464.02
BLDR,current,5311,15.1,0.132450331125825,0.0,0.0,0.0160075329566855,9467280.0
BLK,current,6753,176.13089,0.03464468952606734,0.0,0.0,0.00533175355450237,114899185.688
BMY,current,13658,10.598815,0.026418047677909978,0.0002928686484111876,7.32171621027969e-05,0.04883942300651681,57784382.210999995
BNY,current,13429,15.67437,0.03183541029080839,0.021148261225705563,0.0004467942512473006,0.0890676198987191,30490273.909152
BR,current,4876,56.943304999999995,0.03500762732334902,0.0,0.0,0.008,33873882.876499996
BRK.B,current,7610,82.725,0.04832880024178195,0.0,0.0,0.010513865159679328,318317250.5
BRO,current,10084,8.1836,0.049244831125646704,0.18524395081316938,0.15093216977389926,0.17613805415055042,9450906.607
BSX,current,8616,16.02,0.062421972534336304,0.00011606313834726091,0.0,0.032269297736506095,127885786.5
BX,current,4812,22.21327,0.048664604535942235,0.0,0.0,0.00914570775306589,90626040.7905
BXP,current,7330,54.45316,0.015664839285728083,0.0,0.0,0.015554645927138764,51537186.99950001
C,current,12502,36.565265,0.048256179737709314,7.998720204767237e-05,7.998720204767237e-05,0.0535157187425006,308653433.2442
CAH,current,9586,36.397580000000005,0.019795272103262276,0.008449822658042979,0.005946171500104319,0.042566510172143975,71390980.955
CARR,current,1605,50.78105,0.0426812757908725,0.0006230529595015577,0.0,0.003117206982543641,222771996.27499998
CASY,current,10783,16.39766,0.109710775805801,0.011406844106463879,0.0015765556895112678,0.09710628825820812,4254612.7930000005
CAT,current,14271,10.75039,0.10874024105171771,0.0,0.0,0.04148563419761738,31839563.004
CB,current,8400,40.495464999999996,0.050746423087128574,0.0016666666666666668,0.0,0.025360161924038577,79586568.168
CBOE,current,4062,87.10565600000001,0.030652429734300744,0.0,0.0,0.006156119182467373,56026990.5505
CBRE,current,5575,32.95,0.06069802731410021,0.0,0.0,0.00914962325080732,73923928.0
CCI,current,7036,37.62477,0.03491051240977246,0.00042637862421830583,0.0001421262080727686,0.01279317697228145,67458090.404
CCL,current,9467,22.6599,0.021844756596458494,0.00010563008344776593,0.0,0.0371857173040355,89772213.06
CDNS,current,9162,17.49,0.11433390508856138,0.0004365858982754857,0.0003274394237066143,0.02990939853727759,34310100.0
CDW,current,3298,105.0120717,0.03667673570904691,0.0,0.0,0.005156202608431908,83483935.306
CEG,current,1142,182.539275,0.08317114221035486,0.0,0.0,0.0017528483786152498,420261601.28499997
CF,current,5280,30.059546,0.03258698584469366,0.0,0.0,0.0032203068763023298,122793001.979
CFG,current,2985,28.15129,0.029980864109602882,0.0,0.0,0.006702412868632708,128461763.1996
CHD,current,10350,6.95563,0.08465803960244143,0.01932367149758454,0.01613526570048309,0.08406609334235192,7430563.728
CHRW,current,7246,44.896455,0.022206653064246594,0.0,0.0,0.011180124223602485,59464838.4905
CHTR,current,4173,279.89001,0.03215906133984796,0.010783608914450037,0.004313443565780014,0.015100671140939598,343934231.472
CI,current,11178,25.78369,0.050147981146223736,0.0,0.0,0.03131430616444484,66660463.864
CIEN,current,7420,34.525,0.05792903692975981,0.0,0.0,0.015231163229545762,73598481.66215
CINF,current,11693,21.88448,0.03125502639313523,0.0029932438210895406,0.0018814675446848542,0.09305508039685255,9702297.758
CL,current,12502,15.717690000000001,0.03804630324176196,0.0,0.0,0.05887528997680186,50204229.362
CLX,current,13479,19.94501,0.053146125271434634,7.418947993174568e-05,7.418947993174568e-05,0.07538210416975813,14586108.516
CMCSA,current,11693,6.48412,0.05212735112860247,0.0013683400324980759,0.0006841700162490379,0.0825350667122819,116238849.8803
CME,current,5954,61.57433,0.031149344215356513,0.0,0.0,0.0030236855367041827,152300219.755
CMG,current,5165,9.4096,0.042509777248767255,0.0,0.0,0.0019364833462432224,286483593.0
CMI,current,10498,13.684190000000001,0.0981424549060521,0.0009525623928367308,0.0008573061535530577,0.027626941030770697,40705629.324
CMS,current,10482,12.17008,0.04535713816178486,9.540164090822362e-05,9.540164090822362e-05,0.08377063257322774,13941797.1174
CNC,current,6201,16.355,0.0611433812289698,0.0003225286244154169,0.00016126431220770844,0.007903225806451614,47939496.0
CNP,current,14271,5.18637,0.057458299350026755,0.0005605773947165581,0.0,0.1051156271899089,4705570.66112
COF,current,7983,52.30417,0.02160439597838115,0.0006263309532757109,0.0,0.013781007266349286,158626118.973
COHR,current,9192,13.045,0.07665772326560376,0.08181026979982593,0.03862053959965187,0.09607224458709607,3106457.7419999996
COIN,current,1336,191.830005,0.0781890194915037,0.0,0.0,0.0,1413085816.1950998
COO,current,10734,9.45051,0.08126545551510057,0.005962362586174772,0.0,0.09792229572346968,14322209.922
COP,current,11240,13.2809,0.039605749610341315,8.896797153024912e-05,0.0,0.051517038882462854,85002186.8999
COR,current,7889,24.039793,0.04492551162982018,0.0002535175560907593,0.0,0.022565922920892496,65792243.15755
COST,current,10098,39.47188,0.07839758329219576,0.0,0.0,0.03585223333663464,142196693.48399997
CPAY,current,600,320.569995,0.04679165309902983,0.0,0.0,0.0,151575158.009
CPRT,current,8152,2.45312,0.10191103574223627,0.005642787046123651,0.0012266928361138372,0.0365599312967734,15243669.5
CPT,current,8319,30.81786,0.03322748562034996,0.001322274311816324,0.0,0.04796826160134648,17683119.39
CRH,current,9297,14.2313,0.04040389844919867,0.2355598580187157,0.18479079272883725,0.20836919104991394,1061983.966
CRL,current,6569,57.23,0.052420059409390235,0.00015223017202009437,0.0,0.007155907429963459,30303740.0
CRM,current,5567,68.6865,0.04293420104386681,0.0,0.0,0.0032339202299676607,343358166.07199997
CRWD,current,1799,52.049999,0.09125840713272527,0.0,0.0,0.0005561735261401557,741921184.0
CSCO,current,9159,15.46967,0.043504483288908144,0.0,0.0,0.02118366455557982,637475844.339
CSGP,current,7069,7.9,0.07594936708861047,0.0033951053897298064,0.0011317017965766021,0.013157894736842105,13667932.0
CSX,current,11532,1.63333,0.05448990712226295,0.0001734304543877905,8.671522719389525e-05,0.03824473159309687,27256528.683
CTAS,current,10826,8.116495,0.05605868050186754,0.03205246628486976,0.004433770552373915,0.07842956120092379,26101498.806
CTSH,current,7077,31.73179,0.027637898775954305,0.0,0.0,0.008055398530243075,139879949.44
CTVA,current,1811,52.42943,0.03697350896242771,0.0,0.0,0.004972375690607734,161574540.408
CVNA,current,2332,16.515,0.10899182561308314,0.0,0.0,0.001287001287001287,278918316.6635
CVS,current,13481,10.28215,0.060434831236661456,0.004673243824642089,0.00022253542022105185,0.05734421364985163,32134611.222
CVX,current,14272,13.96794,0.06507759913063481,7.006726457399103e-05,0.0,0.04757900637656787,35998581.691
D,current,10543,15.63414,0.03563355579520057,9.484966328369534e-05,9.484966328369534e-05,0.060994118763043066,39204537.224
DAL,current,4847,35.6193,0.025323349981609924,0.0,0.0,0.008873297565002063,304294326.986
DASH,current,1421,139.11,0.07907411401048466,0.0,0.0,0.002112676056338028,453759597.993
DD,current,13659,26.2947,0.03762164999031014,7.321180174244088e-05,7.321180174244088e-05,0.04290525699223898,40573056.804
DDOG,current,1730,109.455,0.054817048101961786,0.0,0.0,0.001735106998264893,405471058.5
DE,current,13661,12.47314,0.08923174116541335,7.320108337603396e-05,0.0,0.046120058565153735,26582368.878000002
DECK,current,8258,7.0419445,0.07895546464474422,0.019859530152579317,0.004480503753935577,0.05595252513019256,36969879.699
DELL,current,2507,38.33409,0.0663730376800335,0.0,0.0,0.004788507581803671,162422148.78825
DG,current,4207,79.37794,0.03742853493049651,0.0,0.0,0.004992867332382311,221400737.304
DGX,current,7456,43.11184,0.025723791886405837,0.0004023605150214592,0.0,0.0170355466130114,56220929.0245
DHI,current,8603,16.015866,0.045205173419904175,0.00790421945832849,0.0013948622573520864,0.04975587072773774,72068260.59899999
DHR,current,9763,19.67747,0.04838020334930466,0.0032776810406637304,0.0003072825975622247,0.04558492112272075,94555607.63502
DIS,current,14271,15.34171,0.0379357972481551,0.0,0.0,0.033847231955150665,84625247.67305
DLR,current,5477,47.39605,0.03592071491189728,0.0,0.0,0.005843681519357195,65517549.447
DLTR,current,7908,25.34,0.048235990528810335,0.00037936267071320183,0.0,0.016820538763121284,79681663.5
DOC,current,9761,7.13002,0.02819066426181227,0.0008195881569511321,0.00010244851961889151,0.060348360655737704,10594007.43849
DOV,current,10355,18.59425,0.048939860440728226,0.0,0.0,0.03988796600347692,27446230.98954
DOW,current,1857,40.69568,0.029892607765737142,0.0,0.0,0.007004310344827586,209339856.79999998
DPZ,current,5554,95.18443500000001,0.04162445256937531,0.0,0.0,0.00990455609580407,51521062.777499996
DRI,current,7864,25.200955,0.04281583773307744,0.0,0.0,0.03802619865191403,40866527.745510004
DTE,current,14271,9.027946,0.09359825590449751,0.00042043304603741857,0.0,0.14562018220042047,4269953.1114
DUK,current,10920,20.628284999999998,0.04236900934810179,0.0,0.0,0.06758860701529444,41330751.593825005
DVA,current,7742,36.32,0.0412995594713672,0.00038749677086024286,0.0,0.019248159152564268,51534270.0
DVN,current,8768,27.12362,0.01928761721334578,0.013800182481751825,0.004105839416058394,0.036728641496521046,121263434.7035
DXCM,current,5363,15.8825,0.07870297497245507,0.00018646280067126608,0.00018646280067126608,0.011376352107422603,48153088.3374
EBAY,current,7010,18.35501,0.040533892381430355,0.0,0.0,0.0054216007989727494,346275293.92779
ECHO,current,4679,27.70664,0.0328080200269572,0.0,0.0,0.00940572894399316,7668276.0
ECL,current,9776,31.708075,0.050618020803820524,0.0057283142389525366,0.0005114566284779051,0.043682864450127874,32816312.457000002
ED,current,14271,10.17839,0.06906789777165023,0.00014014434867913952,0.0,0.11520672740014015,4879689.648
EFX,current,11693,23.97032,0.03871454365231651,0.013255794064825108,0.0017959462926537245,0.06782415326719124,11559031.859199999
EG,current,7762,66.256655,0.02979323360045683,0.0,0.0,0.01675041876046901,30394174.14438
EIX,current,11745,11.22546,0.04249269072270185,8.514261387824607e-05,8.514261387824607e-05,0.0781675749318801,15196827.554
EL,current,7729,38.58627,0.028352053722733087,0.0,0.0,0.012422360248447204,77391307.2
ELV,current,6232,78.756315,0.04021772730225179,0.0,0.0,0.004172684962285347,212424327.17354
EME,current,7947,26.51308,0.05238923580361074,0.030451742796023657,0.013590033975084938,0.043292222501887745,12093035.336
EMR,current,13658,13.808685,0.053299789226841504,0.00043930297261678136,7.32171621027969e-05,0.050157428424983524,26097570.186499998
EOG,current,9278,26.071128,0.03177844855811671,0.0009700366458288424,0.0,0.031152312169882505,131532506.37900001
EQIX,current,6535,147.46186,0.04509640662338376,0.0,0.0,0.013314967860422406,101358013.11019999
EQR,current,8303,17.12158,0.03399218997312126,0.0004817535830422739,0.0,0.03673813538906288,41044918.0554438
EQT,current,9762,14.47677,0.027837701365706576,0.0007170661749641467,0.0001024380249948781,0.04927773793668681,25157841.754760005
ERIE,current,7763,47.016029,0.037519119277385375,0.009918845807033363,0.002576323586242432,0.03388301984024736,2075101.8080000002
ES,current,10567,11.15706,0.04831021792481177,9.463423866754992e-05,9.463423866754992e-05,0.09691463183797085,7759058.32
ESS,current,8097,67.073128,0.032516747988852304,0.0008645177226133136,0.0,0.03149703557312253,22804836.78
ETN,current,13658,8.70221,0.08538061021280091,0.0024893835114950945,7.32171621027969e-05,0.06875594933001392,10903583.745974999
ETR,current,11694,10.247959999999999,0.04644826872859779,8.551393877201984e-05,0.0,0.10895407508765928,20387181.808
EVRG,current,9817,10.46706,0.043851855248737845,0.0005093205663644698,0.0005093205663644698,0.08007334963325183,6175044.691199999
EW,current,6631,14.25833,0.06431328213051062,0.0,0.0,0.007541478129713424,84736977.024
EXC,current,11746,6.17821,0.03759988734601963,0.00017027073046143367,8.513536523071684e-05,0.10446998722860792,20600641.87782
EXE,current,1379,79.5529,0.0441090142533957,0.0,0.0,0.00725689404934688,142214140.984
EXPD,current,10547,21.98077,0.038260716071356046,0.03176258651749313,0.008059163743244524,0.08183197420823062,31615148.032
EXPE,current,5295,91.96727,0.027507068547314207,0.0,0.0,0.004722327162825841,166458988.79999998
EXR,current,5530,48.060865500000006,0.029462640451201182,0.0,0.0,0.009043226623259178,35476446.604499996
F,current,13658,4.346355,0.03152066501700044,0.0,0.0,0.051841546459691,48637205.965450004
FANG,current,3473,77.31831,0.03978359071737818,0.0,0.0,0.0017281105990783411,133402397.317
FAST,current,9815,2.36435,0.05456045001797591,0.0056036678553234845,0.0011207335710646969,0.059404931730181375,21835017.599999998
FCX,current,7822,15.581955,0.030098918909726557,0.0,0.0,0.021224907300856667,273072314.377
FDS,current,7575,77.9824,0.03164816676582072,0.007392739273927393,0.0013201320132013201,0.01676789015051492,24991266.470999997
FDX,current,12181,31.73754,0.054588351838254306,0.0001641901321730564,0.0,0.029310344827586206,61918192.8936
FE,current,7229,22.22729,0.016916142273761398,0.0,0.0,0.018954067515218595,59492198.94499999
FERG,current,4173,59.071308,0.13219869788561192,0.6213755092259765,0.4982027318475917,0.5129434324065196,3597.4426320000002
FFIV,current,6836,101.91499999999999,0.024530245793063198,0.0,0.0,0.002926115581565472,81529602.5
FICO,current,9171,33.5721,0.05610611192030509,0.08112528622832843,0.05986261040235525,0.07862595419847328,11029213.701
FIS,current,6320,41.0055945,0.02377724337101567,0.0,0.0,0.009495173286912486,64447023.603999995
FISV,current,10042,11.01875,0.09075439591605024,0.012746464847639912,0.0016928898625771759,0.06622846330046808,54402576.0
FITB,current,9327,18.8193,0.025665141636502613,0.018012222579607592,0.018012222579607592,0.0440703409822003,76804390.875
FIX,current,7323,13.42512,0.0699435088848352,0.00040966816878328555,0.0,0.03387052717836657,2583144.664144
FLEX,current,8151,8.44009,0.08933554026082255,0.001349527665317139,0.000368052999631947,0.030920245398773007,54197030.069878
FOX,current,1862,31.880834999999998,0.030864938136032246,0.0,0.0,0.0026867275658248252,37827375.500939995
FOXA,current,1863,33.72323,0.03334496725255082,0.0005367686527106817,0.0,0.008592910848549946,119430217.392
FRT,current,13429,7.23074,0.1302771223969574,0.06992330032020255,0.019882344180504878,0.15571939231456658,608241.41
FSLR,current,4959,73.64,0.040738728951658254,0.0,0.0,0.0018152480839048004,186092532.0
FTNT,current,4204,10.864,0.09204712812960039,0.0,0.0,0.006186057577920533,96468360.5
FTV,current,2538,48.74225,0.01661802645548551,0.0,0.0,0.0043358297201418995,126875940.838255
GD,current,12503,22.38083,0.05748446326609265,0.00015996160921378868,0.00015996160921378868,0.038553831386978085,37332541.872
GDDY,current,2856,73.845,0.04062563477554491,0.00035014005602240897,0.00035014005602240897,0.0035026269702276708,92379219.2832
GE,current,14271,36.14141,0.03314480536314613,0.0,0.0,0.04197617379117029,159967404.23424
GEHC,current,762,76.330895,0.03916435147262127,0.0,0.0,0.002628120893561104,230296187.9975
GEN,current,9163,8.061554,0.046889222599027225,0.0016370184437411329,0.0006548073774964531,0.030233573455577385,62463791.33
GEV,current,591,482.16553,0.1675762678431095,0.0,0.0,0.003389830508474576,1368954947.1360002
GILD,current,8697,14.30597,0.04270944228178596,0.0013797861331493618,0.00045992871104978727,0.029668813247470102,217831148.972
GIS,current,11694,11.0636665,0.045644904426581055,8.551393877201984e-05,0.0,0.046951167365090224,29292165.739
GL,current,11555,5.12768,0.11642692211678207,0.00025962786672436173,0.0,0.058075125497663145,4573677.15
GLW,current,11240,9.68185,0.041211132170005875,8.896797153024912e-05,0.0,0.041640715366135776,80430016.364
GM,current,4344,29.929305,0.02587096492885355,0.006215469613259668,0.09023941068139964,0.022334791618696753,376860123.03610504
GNRC,current,4147,52.38,0.05731195112642554,0.0,0.0,0.00602990834539315,37774539.0
GOOG,current,5527,30.85387,0.03908747913954093,0.0,0.0,0.0003619254433586681,2018505730.536
GOOGL,current,5527,32.36248,0.03674007678027477,0.0,0.0,0.0007238508867173362,2133989910.72
GPC,current,10920,19.726480000000002,0.047144751623199296,9.157509157509158e-05,0.0,0.049363494825533476,8705813.098499998
GPN,current,6428,28.0530035,0.03430648700415375,0.00031113876789047915,0.0,0.0056013692235879885,46053498.849
GRMN,current,6452,31.203560000000003,0.03720729301401686,0.0,0.0,0.00961091303673849,44055349.8114
GS,current,6858,131.03014100000001,0.02143018376206984,0.0,0.0,0.002916727431821496,511996151.0071
GWW,current,10560,44.857960000000006,0.05890036015907118,0.007007575757575758,0.001893939393939394,0.03172648925087603,22402450.899
HAL,current,13658,10.084835,0.03599463947598131,0.0001464343242055938,0.0001464343242055938,0.03807571208903859,49653837.808
HAS,current,10555,13.46289,0.05611722297368362,0.006347702510658456,0.006252960682141166,0.0501231760469964,16335578.85
HBAN,current,9186,8.97846,0.020827625227491802,0.002939255388634879,0.002939255388634879,0.06412629286880783,30857794.268
HCA,current,3876,105.004685,0.048216896227057084,0.0,0.0,0.0036129032258064514,219785256.69199997
HD,current,11310,21.651,0.04634889843425356,0.034836427939876215,0.0,0.0627818551596074,190249141.26900002
HIG,current,7710,37.05925499999999,0.019725167168084787,0.0,0.0,0.009210014269036192,83397824.734
HII,current,3868,172.56940500000002,0.024001937075691444,0.0,0.0,0.0015515903801396431,46930224.247
HLT,current,3181,91.8296,0.043548049866261936,0.0,0.0,0.006918238993710692,218730981.06
HON,current,14271,7.38028,0.04078436048496747,0.00014014434867913952,0.00014014434867913952,0.05108619481429572,13820868.06805
HOOD,current,1262,20.105,0.19895548371055086,0.0,0.0,0.00951625693893735,283980043.5
HPE,current,2716,12.868385,0.03644590987913466,0.0,0.0,0.013996316758747698,144065848.481
HPQ,current,14271,3.27918,0.02805579443643527,0.00042043304603741857,0.0,0.04835318850735809,24994645.403
HRL,current,9252,5.93436,0.04853092835619072,0.00399913532209252,0.0037829658452226546,0.054912982380283214,9750990.216
HSIC,current,7739,24.8902,0.04017645499033803,0.0,0.0,0.019126389247867664,36984967.7052
HST,current,10921,8.93879,0.019018234011533897,9.156670634557275e-05,0.0,0.06831501831501831,12269616.552550001
HSY,current,11694,20.7038,0.053323544470086255,0.002223362408072516,0.0,0.053279740015393824,19703154.22
HUBB,current,13536,17.094082,0.0770442074631372,0.4109042553191489,0.4107565011820331,0.41595862578500187,1518806.0285
HUM,current,11240,26.065808,0.12257437022476568,0.0,0.0,0.0492926416941009,29454736.873800002
HWM,current,2454,31.65918,0.0628253795581684,0.0,0.01426242868785656,0.008153281695882593,102384890.622
IBKR,current,4846,7.58164,0.05209954574471586,0.0004127115146512588,0.0004127115146512588,0.009700722394220845,16968485.97
IBM,current,14271,26.14349,0.03262762546240142,0.00021021652301870928,0.00021021652301870928,0.02151366503153469,205229859.28568
ICE,current,5212,44.392215,0.040772914800482236,0.0,0.0,0.006140855881788524,170690221.79517
IDXX,current,8845,25.945,0.09635767970706717,0.0007914075749010741,0.0,0.03346901854364541,17690400.0
IEX,current,9344,23.575945,0.05022068044355976,0.021725171232876712,0.001819349315068493,0.05619180134860323,8327731.8685
IFF,current,11240,22.98915,0.03584299550005412,0.00044483985765124553,0.0,0.04484384731737699,8609555.222
INCY,current,8244,18.365000000000002,0.054462292404029757,0.004609412906356138,0.00012130033964095099,0.025961421812446924,23079648.75
INTC,current,11693,15.48381,0.03119387282586924,0.00017104250406225948,8.552125203112974e-05,0.03600752651385563,716861403.146
INTU,current,8409,29.19696,0.09196162888189745,0.00011892020454275182,0.0,0.01784015223596575,110144725.644
INVH,current,2392,27.145384999999997,0.024681911860900664,0.0,0.0,0.011710581346716854,85529287.30849999
IP,current,14271,12.94056,0.025215292073916894,7.007217433956976e-05,0.0,0.03847231955150666,24016945.20238
IQV,current,3332,145.22999499999997,0.034414378379621254,0.0,0.0,0.003302311618132693,151720253.5
IR,current,2322,49.194320000000005,0.042830147870718795,0.0,0.0,0.004308487720809996,109953708.4625
IRM,current,7678,10.93031,0.0418103420671607,0.006381870278718416,0.0007814535035165407,0.028396509053015502,14926393.467480998
ISRG,current,6574,53.8,0.043373605947960955,0.0,0.0,0.007150464019473604,185827413.4065
IT,current,8266,32.62207,0.09058284774693795,0.00036293249455601257,0.0,0.02383545069570478,17343429.5
ITW,current,9847,28.21825,0.04074490799393043,0.008733624454148471,0.008733624454148471,0.023359739995937438,69728874.92999999
IVZ,current,7788,12.87968,0.017779944843366632,0.011684643040575244,0.001027221366204417,0.024528059586490306,41025141.744
J,current,11693,14.903,0.07987653492585627,0.03523475583682545,0.006670657658428119,0.08698255217242559,11017440.766999999
JBHT,current,9182,24.801845,0.05189130082862583,0.00326726203441516,0.0025049008930516227,0.04433068293214247,35030337.035
JBL,current,8374,19.178199999999997,0.033527651187285235,0.004418438022450442,0.0008359207069500836,0.028544129941478563,36706859.2595
JCI,current,9789,29.6477,0.023853452375735235,0.0,0.0,0.028810788720882715,110673810.0492996
JKHY,current,9249,20.26003,0.05686072528026846,0.03211157963023029,0.018488485241647746,0.0661764705882353,10167524.055
JNJ,current,14271,17.57279,0.04410227402698869,0.00014014434867913952,0.0,0.03524877365101612,80184897.31199999
JPM,current,10734,22.427395,0.04030784672049787,0.0,0.0,0.033541414329637566,237597357.551
KDP,current,4592,26.508195,0.021798919164424935,0.0,0.0,0.011108690917011544,50853653.565
KEY,current,11688,7.96218,0.024113998929943103,0.001540041067761807,0.0,0.11807991785744845,16512598.6
KEYS,current,2967,104.87,0.038142462095927476,0.0,0.0,0.005394470667565745,117906480.0
